"RunningID","IUID","ScenStart","ScenFut","Endemicity"
3491,"RWA38117","Rest","65A.IDA","Non-endemic"
3492,"TZA46631","IA","65A.xIA","Non-endemic"
3493,"GAB20350","Rest","65B.xxA","Not reported"
3494,"COD13867","Rest","65B.xxA","Endemic (under MDA)"
3495,"COD13856","Rest","65B.xxA","Endemic (under MDA)"
3496,"RWA38120","Rest","65A.IDA","Non-endemic"
3497,"KEN54255","Rest","65A.xDA","Endemic (MDA not delivered)"
3498,"KEN54130","Rest","65A.xDA","Endemic (MDA not delivered)"
3499,"COD13848","Rest","65B.xxA","Endemic (under MDA)"
3500,"COD14314","Rest","65B.xxA","Non-endemic"
3501,"COD14319","Rest","65B.xxA","Endemic (under MDA)"
3502,"COD14300","IA","65A.xIA","Endemic (under MDA)"
3503,"RWA38119","Rest","65A.IDA","Non-endemic"
3504,"RWA38114","Rest","65A.IDA","Non-endemic"
3505,"GAB20371","Rest","65B.xxA","Not reported"
3506,"GAB20356","Rest","65B.xxA","Not reported"
3507,"GAB20355","Rest","65B.xxA","Not reported"
