"","IUID","pop"
"1424",1,379337
"1425",1,104645
"1426",1,337648
"1427",1,214189
"1428",1,264240
"1429",1,269973
"1430",1,201854
"1431",0,0
"1432",0,0
"1433",0,0
"1434",0,0
"1435",0,0
"1436",1,190550
"1437",0,0
"1438",1,384239
"1439",1,167384
"1440",1,236583
"1441",0,0
"1442",0,0
"1443",1,42229
"1444",1,287246
"1445",1,76393
"1446",0,0
"1447",1,222925
"1448",1,319088
"1449",1,164096
"1450",0,0
"1451",1,186120
"1452",0,0
"1453",0,0
"1454",0,0
"1455",0,0
"1456",0,0
"1457",0,0
"1458",0,0
"1459",0,0
"1460",0,0
"1461",0,0
"1462",0,0
"1463",1,52984
"1464",0,0
"1465",0,0
"1466",1,196079
"1467",0,0
"1468",1,205857
"1469",0,0
"1470",0,0
"1471",1,225781
"1472",1,171617
"1473",0,0
"1474",0,0
"1475",0,0
"1476",0,0
"1477",0,0
"1478",0,0
"1479",0,0
"1480",1,151802
"1481",1,246001
"1482",1,167425
"1483",0,0
"1484",1,151811
"1485",1,313220
"1486",1,283252
"1487",1,133150
"1488",1,354903
"1489",0,0
"1490",0,0
"1491",0,0
"1492",0,0
"1493",0,0
"1494",0,0
"1495",0,0
"1496",0,0
"1497",1,113066
"1498",1,174276
"1499",1,115166
"1500",1,176740
"1501",1,346289
"1502",0,0
"1503",1,101828
"1504",0,0
"1505",0,0
"1506",0,0
"1507",0,0
"1508",0,0
"1509",0,0
"1510",0,0
"1511",0,0
"1512",0,0
"1513",1,79249
"1514",1,82962
"1515",0,0
"1516",0,0
"1517",1,193878
"1518",0,0
"1519",0,0
"1520",0,0
"1521",0,0
"1522",0,0
"1523",0,0
"1524",1,674213
"1525",1,582173
"1526",1,182168
"1527",1,183214
"1528",1,80566
"1529",1,217488
"1530",0,0
"1531",1,268268
"1532",1,308595
"1533",0,0
"1534",1,247472
"1535",0,0
"1536",0,0
"1537",0,0
"1538",0,0
"1539",0,0
"1540",0,0
"1541",0,0
"1542",0,0
"1543",0,0
"1544",1,221004
"1545",1,100485
"1546",1,211090
"1547",1,110985
"1548",1,224408
"1549",0,0
"1550",0,0
"1551",0,0
"1552",0,0
"1553",0,0
"1554",1,151290
"1555",1,156365
"1556",1,258388
"1557",1,220884
"1558",0,0
"1559",1,189561
"1560",0,0
"1561",0,0
"1562",0,0
"1563",0,0
"1564",0,0
"1565",1,337847
"1566",1,308934
"1567",1,149971
"1568",0,0
"1569",1,271469
"1570",1,286754
"1571",1,134282
"1572",1,119822
"1573",1,123253
"1574",1,196673
"1575",1,189561
"1576",1,412226
"1577",0,0
"1578",1,143724
"1579",0,0
"1580",0,0
"1581",0,0
"1582",0,0
"1583",0,0
"1584",0,0
"1585",1,554409
"1586",1,207649
"1587",0,0
"1588",1,175571
"1589",1,181826
"1590",0,0
"1591",0,0
"1592",0,0
"1593",0,0
"1594",0,0
"1595",0,0
"1596",1,120255
"1597",0,0
"1598",1,455890
"1599",1,192778
"1600",1,174548
"1601",1,64859
"1602",0,0
"1603",0,0
"1604",0,0
"1605",1,143973
"1606",0,0
"1607",1,328545
"1608",1,70688
"1609",0,0
"1610",0,0
"1611",1,66024
"1612",0,0
"1613",0,0
"1614",0,0
"1615",1,214689
"1616",0,0
"1617",0,0
"1618",0,0
"1619",0,0
"1620",0,0
"1621",0,0
"1622",1,131808
"1623",0,0
"1624",0,0
"1625",0,0
"1626",0,0
"1627",0,0
"1628",0,0
"1629",1,323899
"1630",1,154830
"1631",1,134221
"1632",1,127738
"1633",1,205576
"1634",1,209754
"1635",0,0
"1636",0,0
"1637",0,0
"1638",0,0
"1639",0,0
"1640",0,0
"1641",0,0
"1642",0,0
"1643",0,0
"1644",0,0
"1645",0,0
"1646",1,232242
"1647",1,297165
"1648",0,0
"1649",0,0
"1650",0,0
"1651",0,0
"1652",0,0
"1653",1,127200
"1654",1,50515
"1655",1,442326
"1656",0,0
"1657",1,261690
"1658",1,146543
"1659",1,337389
"1660",1,105108
"1661",0,0
"1662",0,0
"1663",0,0
"1664",0,0
"1665",0,0
"1666",0,0
"1667",0,0
"1668",0,0
"1669",1,115869
"1670",0,0
"1671",0,0
